"player","salary","season"
"Kevin Garnett",46505454,2004
"Shaquille O'Neal",41107498,2004
"Dikembe Mutombo",29421826,2004
"Rasheed Wallace",28235454,2004
"Allan Houston",26470738,2004
"Chris Webber",26470738,2004
"Shawn Kemp",24817195,2004
"Shareef Abdur-Rahim",22422272,2004
"Vin Baker",22422272,2004
"Zydrunas Ilgauskas",22422272,2004
"Antoine Walker",22422272,2004
"Kobe Bryant",22422272,2004
"Latrell Sprewell",22422272,2004
"Antonio McDyess",22422272,2004
"Ray Allen",22422272,2004
"Allen Iverson",22422272,2004
"Anfernee Hardaway",22422272,2004
"Stephon Marbury",22422272,2004
"Michael Finley",22058948,2004
"Keith Van Horn",22056457,2004
"Grant Hill",22056457,2004
"Tracy McGrady",22056457,2004
"Jalen Rose",22056457,2004
"Jason Kidd",21844276,2004
"Jermaine O'Neal",21844276,2004
"Antonio Davis",21467250,2004
"Tim Duncan",21053891,2004
"Damon Stoudamire",20553750,2004
"Eddie Jones",20485237,2004
"Brian Grant",20147903,2004
"Vlade Divac",20016462,2004
"Nick Van Exel",19858867,2004
"Tim Thomas",19640250,2004
"Tom Gugliotta",19382809,2004
"Paul Pierce",18811820,2004
"Antawn Jamison",18811820,2004
"Dirk Nowitzki",18811820,2004
"Vince Carter",18811820,2004
"Terrell Brandon",18436090,2004
"Steve Francis",18203563,2004
"Elton Brand",18203563,2004
"Baron Davis",18203563,2004
"Shawn Marion",18203563,2004
"Glenn Robinson",17821554,2004
"Theo Ratliff",16868607,2004
"Lamar Odom",16548627,2004
"Mike Bibby",15778636,2004
"Kerry Kittles",15391089,2004
"Dale Davis",15050950,2004
"Toni Kukoc",15041607,2004
"Greg Ostertag",14394544,2004
"Gilbert Arenas",14177520,2004
"Jamal Mashburn",14159250,2004
"Jason Terry",13840908,2004
"Raef LaFrentz",13584160,2004
"Andre Miller",13287272,2004
"Wally Szczerbiak",13287272,2004
"PJ Brown",13287272,2004
"Glen Rice",13096267,2004
"Erick Dampier",13024849,2004
"Maurice Taylor",12955090,2004
"Derek Anderson",12945125,2004
"Wesley Person",12789000,2004
"Alan Henderson",12759415,2004
"Austin Croshere",12639518,2004
"Kelvin Cato",12197716,2004
"Marcus Camby",12041590,2004
"Rashard Lewis",11647933,2004
"Corey Maggette",11626363,2004
"Bonzi Wells",11626363,2004
"Brad Miller",11626363,2004
"Jerry Stackhouse",11470653,2004
"Doug Christie",11460272,2004
"Ron Mercer",11211136,2004
"Shandon Anderson",11128090,2004
"Chris Mills",10962000,2004
"Lorenzen Wright",10962000,2004
"Bo Outlaw",10937086,2004
"Richard Hamilton",10795909,2004
"Hakeem Olajuwon",10508443,2004
"Bob Sura",10408362,2004
"Predrag Stojakovic",10380681,2004
"Eddie Robinson",10304280,2004
"Tariq Abdul-Wahad",10276875,2004
"Jason Williams",10276875,2004
"Michael Dickerson",10276875,2004
"Charlie Ward",10015281,2004
"Jerome Williams",9944693,2004
"Howard Eisley",9705937,2004
"Jonathan Bender",9633272,2004
"Steve Nash",9550227,2004
"Vitaly Potapenko",9492095,2004
"Al Harrington",9454725,2004
"Jason Caffey",9446420,2004
"Jahidi White",9427471,2004
"Christian Laettner",9342613,2004
"Radoslav Nesterovic",9301090,2004
"Eric Williams",9201436,2004
"Ben Wallace",9135000,2004
"Kenny Thomas",9135000,2004
"Alvin Williams",9135000,2004
"Metta World Peace",9091291,2004
"Calvin Booth",9046639,2004
"Avery Johnson",9044646,2004
"Clarence Weatherspoon",9044646,2004
"Joe Smith",9044646,2004
"Todd MacCulloch",9044646,2004
"Ruben Patterson",9044646,2004
"Danny Fortson",9016414,2004
"Brent Barry",8968909,2004
"Cuttino Mobley",8959151,2004
"Kurt Thomas",8959151,2004
"Scot Pollard",8818701,2004
"Kenyon Martin",8518286,2004
"Sam Cassell",8408352,2004
"Ricky Davis",8305542,2004
"Chauncey Billups",8305542,2004
"Jerome James",8305542,2004
"Keon Clark",8305542,2004
"Larry Hughes",8305542,2004
"Nazr Mohammed",8304545,2004
"Corliss Williamson",8304545,2004
"Reggie Miller",8304545,2004
"Aaron McKie",8304545,2004
"Brevin Knight",8304545,2004
"Alonzo Mourning",8166690,2004
"Scottie Pippen",8166690,2004
"Gary Payton",8166690,2004
"James Posey",8166690,2004
"Michael Olowokandi",8166690,2004
"Juwan Howard",8166690,2004
"Malik Rose",8165444,2004
"Rick Fox",7864067,2004
"Clifford Robinson",7806272,2004
"Donyell Marshall",7648811,2004
"Stromile Swift",7627588,2004
"Devean George",7550492,2004
"Eric Snow",7474090,2004
"Robert Horry",7474090,2004
"Lamond Murray",7474090,2004
"Michael Stewart",7440872,2004
"Ervin Johnson",7338155,2004
"Travis Knight",7312152,2004
"Tony Battie",7308000,2004
"Adonal Foyle",7308000,2004
"Anthony Mason",7221788,2004
"Matt Harpring",7125300,2004
"Kwame Brown",7062318,2004
"Zeljko Rebraca",6975818,2004
"Yao Ming",6888720,2004
"Darius Miles",6860718,2004
"LeBron James",6675060,2004
"Elden Campbell",6643636,2004
"Jeff Foster",6643636,2004
"Derrick Coleman",6643636,2004
"David Wesley",6577200,2004
"Chucky Atkins",6477545,2004
"Marc Jackson",6477545,2004
"Tyson Chandler",6318696,2004
"Marcus Fizer",6190198,2004
"Jay Williams",6163434,2004
"Bruce Bowen",6062318,2004
"Lawrence Funderburke",5979272,2004
"Darko Milicic",5972296,2004
"Shawn Bradley",5813181,2004
"Moochie Norris",5813181,2004
"Eduardo Najera",5694546,2004
"Mike Miller",5614631,2004
"Mike Dunleavy",5535012,2004
"Jeff McInnis",5481000,2004
"Carmelo Anthony",5363407,2004
"Eddy Curry",5115865,2004
"Rodney Rogers",5108292,2004
"Evan Eschmeyer",5011404,2004
"Matt Maloney",4993124,2004
"Drew Gooden",4990301,2004
"Chris Crawford",4982727,2004
"Jon Barry",4982727,2004
"Lindsey Hunter",4982727,2004
"Speedy Claxton",4982727,2004
"Derek Fisher",4982727,2004
"Michael Redd",4982727,2004
"Eric Montross",4916290,2004
"Hubert Davis",4910062,2004
"Aaron Williams",4858159,2004
"Tony Delk",4858159,2004
"Othella Harrington",4858159,2004
"Bobby Jackson",4858159,2004
"Chris Bosh",4835437,2004
"Chris Mihm",4666314,2004
"George Lynch",4650545,2004
"Michael Curry",4650545,2004
"Jason Richardson",4632740,2004
"Nikoloz Tskitishvili",4518935,2004
"Pat Garrity",4391028,2004
"Greg Buckner",4384800,2004
"Dwyane Wade",4378820,2004
"Wang Zhizhi",4353148,2004
"Pau Gasol",4348916,2004
"John Amaechi",4334972,2004
"Jamal Crawford",4281718,2004
"Shane Battier",4207813,2004
"Lucious Harris",4152272,2004
"Earl Boykins",4152272,2004
"Eric Piatkowski",4152272,2004
"Predrag Drobnjak",4152272,2004
"Andrew DeClercq",4152272,2004
"Darrell Armstrong",4110750,2004
"Dajuan Wagner",4104571,2004
"Ira Newble",4083345,2004
"Kevin Ollie",4083345,2004
"Stacey Augmon",3986181,2004
"Chris Kaman",3977212,2004
"Joel Przybilla",3941850,2004
"Eddie Griffin",3841284,2004
"Cory Alexander",3824704,2004
"Keyon Dooling",3747748,2004
"Etan Thomas",3655564,2004
"Jim Jackson",3654000,2004
"Antonio Daniels",3654000,2004
"Kirk Hinrich",3630614,2004
"Courtney Alexander",3601171,2004
"Bimbo Coles",3521126,2004
"DeSagana Diop",3519200,2004
"Nenê",3492626,2004
"Troy Hudson",3487909,2004
"Chris Wilcox",3432700,2004
"TJ Ford",3326269,2004
"Hidayet Turkoglu",3314528,2004
"Rodney White",3234786,2004
"Marko Jaric",3197250,2004
"Amare Stoudemire",3155262,2004
"Desmond Mason",3152923,2004
"Joe Johnson",3072947,2004
"Mike Sweetney",3057401,2004
"Quentin Richardson",2999161,2004
"Caron Butler",2997409,2004
"Nate Huffman",2923200,2004
"Kedrick Brown",2919280,2004
"Jarvis Hayes",2904531,2004
"Jamaal Magloire",2868009,2004
"Jared Jeffries",2847528,2004
"Samaki Walker",2823545,2004
"Corie Blount",2790327,2004
"Vladimir Radmanovic",2773386,2004
"Morris Peterson",2733987,2004
"Melvin Ely",2705222,2004
"DeShawn Stevenson",2684173,2004
"Cezary Trybanski",2657454,2004
"Jerome Moiso",2657454,2004
"Dalibor Bagaric",2655919,2004
"Richard Jefferson",2634666,2004
"Iakovos Tsakalidis",2625402,2004
"Nick Collison",2621313,2004
"Marcus Haislip",2569891,2004
"Stanislav Medvedenko",2557800,2004
"Michael Doleac",2557800,2004
"Gordan Giricek",2557800,2004
"Mickael Pietrus",2537779,2004
"Malik Allen",2507972,2004
"Troy Murphy",2502923,2004
"Fred Jones",2501329,2004
"Jumaine Jones",2491363,2004
"Mark Jackson",2491363,2004
"Karl Malone",2491363,2004
"Brian Skinner",2491363,2004
"Erick Strickland",2491363,2004
"Tyronn Lue",2491363,2004
"Jake Voskuhl",2491363,2004
"Marcus Banks",2490367,2004
"Manu Ginobili",2420775,2004
"Steven Hunter",2377757,2004
"Luke Ridnour",2365798,2004
"Bostjan Nachbar",2319359,2004
"Kirk Haston",2258969,2004
"Reece Gaines",2247409,2004
"Earl Watson",2219805,2004
"Jiri Welsch",2203362,2004
"Bryce Drew",2159181,2004
"Michael Bradley",2145960,2004
"Troy Bell",2134998,2004
"Juan Dixon",2093343,2004
"Ryan Bowen",2076136,2004
"Jarron Collins",2076136,2004
"Jason Collins",2038732,2004
"Zarko Cabarkapa",2028368,2004
"Walter McCarty",1993090,2004
"Voshon Lenard",1993090,2004
"Daniel Santiago",1993090,2004
"Curtis Borchardt",1971897,2004
"Zach Randolph",1946851,2004
"Chris Childs",1937727,2004
"David West",1926920,2004
"Ryan Humphrey",1899017,2004
"Jeryl Sasser",1869733,2004
"Brendan Haywood",1869120,2004
"Aleksandar Pavlovic",1840220,2004
"Mehmet Okur",1827000,2004
"Kareem Rush",1823080,2004
"Joseph Forte",1794379,2004
"Kendall Gill",1777172,2004
"Calbert Cheaney",1777172,2004
"Popeye Jones",1777172,2004
"Kenny Anderson",1777172,2004
"Olden Polynice",1777172,2004
"Bryon Russell",1777172,2004
"Horace Grant",1777172,2004
"Sean Rooks",1777172,2004
"Steve Smith",1777172,2004
"Scott Williams",1777172,2004
"Anthony Peeler",1777172,2004
"Tony Massenburg",1777172,2004
"Kevin Willis",1777172,2004
"Chris Whitney",1777172,2004
"Dahntay Jones",1766675,2004
"Qyntel Woods",1750133,2004
"Boris Diaw",1695921,2004
"Casey Jacobsen",1680175,2004
"Dion Glover",1660909,2004
"Stephen Jackson",1660909,2004
"Monty Williams",1660909,2004
"Brandon Armstrong",1653684,2004
"Zoran Planinic",1628155,2004
"Tayshaun Prince",1613008,2004
"Efthimios Rentzias",1613008,2004
"Robert Pack",1603790,2004
"Andrei Kirilenko",1587496,2004
"Mark Blount",1569429,2004
"Travis Outlaw",1562981,2004
"Travis Best",1559060,2004
"Fred Hoiberg",1559060,2004
"Gary Trent",1559060,2004
"Gerald Wallace",1523917,2004
"Brian Cook",1500398,2004
"Frank Williams",1486447,2004
"Rod Strickland",1473752,2004
"Samuel Dalembert",1473492,2004
"Mitchell Butler",1455253,2004
"John Salmons",1437217,2004
"Jamaal Tinsley",1431039,2004
"Primoz Brezec",1431039,2004
"Tony Parker",1422070,2004
"Chris Jefferies",1395761,2004
"Ndudi Ebi",1392771,2004
"Dan Dickau",1387191,2004
"Maciej Lampe",1376893,2004
"Robert Traylor",1370250,2004
"Kendrick Perkins",1352511,2004
"Jacque Vaughn",1351446,2004
"Rick Brunson",1351446,2004
"Darvin Ham",1351446,2004
"Anthony Johnson",1351446,2004
"John Wallace",1351446,2004
"Leandro Barbosa",1344140,2004
"Brian Scalabrine",1328727,2004
"Carlos Arroyo",1328727,2004
"Josh Howard",1284547,2004
"Mark Pope",1247640,2004
"Adrian Griffin",1247640,2004
"Damon Jones",1247640,2004
"Shammond Williams",1247640,2004
"Vladimir Stepania",1247640,2004
"Anthony Carter",1247640,2004
"Bruno Sundov",1247606,2004
"Eddie House",1245681,2004
"Reggie Evans",1162636,2004
"Doug Overton",1155733,2004
"Obinna Ekezie",1143833,2004
"Scott Padgett",1143833,2004
"Rafer Alston",1143833,2004
"Ansu Sesay",1143833,2004
"Amal McCaskill",1143833,2004
"Milt Palacio",1143833,2004
"Raja Bell",1143833,2004
"Oliver Miller",1140775,2004
"Brian Cardinal",1102310,2004
"Pepe Sanchez",1102310,2004
"Mark Madsen",1102310,2004
"Donnell Harvey",1102310,2004
"Ruben Boumtje-Boumtje",1102310,2004
"Michael Ruffin",1102310,2004
"Mike James",1060787,2004
"Chris Andersen",1060787,2004
"Jeff Trepagnier",1060787,2004
"Tremaine Fowlkes",1060787,2004
"Mike Wilks",1060787,2004
"Jamison Brewer",1060787,2004
"Bobby Simmons",1060787,2004
"Loren Woods",1060787,2004
"Trenton Hassell",1060787,2004
"Jabari Smith Sr",1060787,2004
"Jason Hart",1060787,2004
"Lonny Baxter",1057465,2004
"Mengke Bateer",1057465,2004
"Raul Lopez",1032288,2004
"Dan Langhi",1002833,2004
"Sean Marks",990391,2004
"Alton Ford",973428,2004
"Tamar Slay",936219,2004
"Carlos Boozer",936219,2004
"JR Bremer",936219,2004
"Jamal Sampson",936219,2004
"Jannero Pargo",936219,2004
"Rasual Butler",936219,2004
"Dan Gadzuric",936219,2004
"Ronald Murray",936219,2004
"Robert Archibald",936219,2004
"Sam Clancy",936219,2004
"Devin Brown",936219,2004
"Roger Mason",936219,2004
"Mikki Moore",852046,2004
"Zendon Hamilton",806569,2004
"Muggsy Bogues",726514,2004
"Travis Hansen",609439,2004
"Brandon Hunter",609439,2004
"Linton Johnson",609439,2004
"Jason Kapono",609439,2004
"Jon Stefansson",609439,2004
"Marquis Daniels",609439,2004
"Francisco Elson",609439,2004
"James Jones",609439,2004
"Josh Moore",609439,2004
"Luke Walton",609439,2004
"Theron Smith",609439,2004
"Jerome Beasley",609439,2004
"Udonis Haslem",609439,2004
"Keith McLeod",609439,2004
"Richie Frahm",609439,2004
"Keith Bogans",609439,2004
"Zaza Pachulia",609439,2004
"Kyle Korver",609439,2004
"Willie Green",609439,2004
"Darius Songaila",609439,2004
"Alex Garcia",609439,2004
"Ben Handlogten",609439,2004
"Maurice Williams",609439,2004
"Steve Blake",609439,2004
"Paul Grant",582283,2004
"Matt Carroll",579710,2004
"Kaniel Dickens",438498,2004
"Cherokee Parks",380258,2004
"Tyrone Hill",368437,2004
"Damone Brown",336347,2004
"Quincy Lewis",336070,2004
"Ben Davis",292932,2004
"Rodney Buford",241971,2004
"Tracy Murray",238401,2004
"Slavko Vranes",215532,2004
"Sean Lampley",148425,2004
"Shane Heal",125589,2004
"Torraye Braggs",89185,2004
"Britton Johnsen",74322,2004
"Jelani McCoy",60860,2004
"Derrick Dial",53771,2004
"Shaquille O'Neal",44546283,2005
"Dikembe Mutombo",31340370,2005
"Allan Houston",28196848,2005
"Chris Webber",28196848,2005
"Kevin Garnett",25734022,2005
"Jason Kidd",23797536,2005
"Jermaine O'Neal",23797536,2005
"Antoine Walker",23522504,2005
"Zydrunas Ilgauskas",23522504,2005
"Latrell Sprewell",23522504,2005
"Anfernee Hardaway",23522504,2005
"Stephon Marbury",23522504,2005
"Ray Allen",23522504,2005
"Allen Iverson",23522504,2005
"Shareef Abdur-Rahim",23522504,2005
"Michael Finley",23497373,2005
"Tracy McGrady",23300548,2005
"Keith Van Horn",23300548,2005
"Grant Hill",23300548,2005
"Jalen Rose",23300548,2005
"Tim Duncan",22936478,2005
"Kobe Bryant",22798735,2005
"Eddie Jones",21640704,2005
"Brian Grant",21284342,2005
"Antonio Davis",20788264,2005
"Tim Thomas",20748055,2005
"Paul Pierce",20240914,2005
"Vince Carter",20240914,2005
"Dirk Nowitzki",20240914,2005
"Antawn Jamison",20240914,2005
"Damon Stoudamire",20104704,2005
"Baron Davis",19831280,2005
"Steve Francis",19831280,2005
"Shawn Marion",19831280,2005
"Glenn Robinson",19415113,2005
"Elton Brand",19390585,2005
"Nick Van Exel",19193160,2005
"Carlos Boozer",17639867,2005
"Theo Ratliff",17591616,2005
"Lamar Odom",16966112,2005
"Mike Bibby",16887952,2005
"Dale Davis",16194339,2005
"Rasheed Wallace",15633418,2005
"Raef LaFrentz",15624633,2005
"Kerry Kittles",15386801,2005
"Kenyon Martin",15206468,2005
"Gilbert Arenas",15102010,2005
"Jamal Mashburn",14957900,2005
"Wally Szczerbiak",14475387,2005
"Vin Baker",14207323,2005
"Steve Nash",14073293,2005
"Jamaal Magloire",13724811,2005
"Marcus Camby",13671199,2005
"Maurice Taylor",13590780,2005
"Derek Anderson",13580325,2005
"Alan Henderson",13306298,2005
"Austin Croshere",13285188,2005
"Shandon Anderson",13146383,2005
"PJ Brown",12867011,2005
"Kelvin Cato",12854144,2005
"Brad Miller",12665964,2005
"Richard Hamilton",12565440,2005
"Rashard Lewis",12532803,2005
"Erick Dampier",12384498,2005
"Bonzi Wells",12384498,2005
"Bo Outlaw",12276582,2005
"Doug Christie",12143241,2005
"Jason Terry",12062822,2005
"Mehmet Okur",12062822,2005
"Jerry Stackhouse",11962299,2005
"Andre Miller",11848373,2005
"Lorenzen Wright",11499891,2005
"Ben Wallace",11258634,2005
"Corey Maggette",11258634,2005
"Jason Williams",11057587,2005
"Predrag Stojakovic",11057587,2005
"Tariq Abdul-Wahad",10856540,2005
"Darius Miles",10856540,2005
"Manu Ginobili",10620913,2005
"Christian Laettner",10615284,2005
"Desmond Mason",10502102,2005
"Jonathan Bender",10494655,2005
"Adonal Foyle",10454446,2005
"Al Harrington",10172980,2005
"Howard Eisley",10135864,2005
"Sam Cassell",10052352,2005
"Vitaly Potapenko",9957860,2005
"Jerome Williams",9951828,2005
"Jahidi White",9917998,2005
"Radoslav Nesterovic",9907598,2005
"Metta World Peace",9904212,2005
"Mike Miller",9650258,2005
"Kenny Thomas",9650258,2005
"Stromile Swift",9639168,2005
"Calvin Booth",9490546,2005
"Clarence Weatherspoon",9488455,2005
"Joe Smith",9488455,2005
"Todd MacCulloch",9488455,2005
"Ruben Patterson",9488455,2005
"Kurt Thomas",9464490,2005
"Cuttino Mobley",9464490,2005
"Alvin Williams",9409001,2005
"Danny Fortson",9357752,2005
"Quentin Richardson",9328583,2005
"Scot Pollard",9316118,2005
"Jamal Crawford",9264247,2005
"Reggie Miller",8846070,2005
"Aaron McKie",8846070,2005
"Corliss Williamson",8846070,2005
"Malik Rose",8785755,2005
"Ricky Davis",8774014,2005
"Chauncey Billups",8774014,2005
"Jerome James",8774014,2005
"Larry Hughes",8774014,2005
"Gary Payton",8699225,2005
"Scottie Pippen",8699225,2005
"Juwan Howard",8699225,2005
"James Posey",8699225,2005
"Michael Olowokandi",8699225,2005
"Alonzo Mourning",8699225,2005
"Kwame Brown",8623909,2005
"Clifford Robinson",8504290,2005
"Nazr Mohammed",8443976,2005
"Stephen Jackson",8202719,2005
"Eddie Robinson",8131236,2005
"Donyell Marshall",8080241,2005
"Mark Blount",7885869,2005
"Marquis Daniels",7885869,2005
"Antonio McDyess",7885869,2005
"Derek Fisher",7885869,2005
"Vlade Divac",7885869,2005
"Brian Cardinal",7885869,2005
"Troy Hudson",7885869,2005
"Hidayet Turkoglu",7885869,2005
"Etan Thomas",7885869,2005
"Eric Snow",7840834,2005
"Lamond Murray",7840834,2005
"Ervin Johnson",7780734,2005
"Tyson Chandler",7721979,2005
"Michael Stewart",7720206,2005
"Rick Fox",7720206,2005
"Tony Battie",7720206,2005
"Anthony Mason",7576152,2005
"Matt Harpring",7543285,2005
"Devean George",7311679,2005
"Derrick Coleman",7237693,2005
"Jeff Foster",7237693,2005
"Brian Skinner",7237693,2005
"David Wesley",7165316,2005
"Yao Ming",7136173,2005
"Elden Campbell",7076856,2005
"Morris Peterson",7076856,2005
"Trenton Hassell",6996437,2005
"LeBron James",6948764,2005
"Pau Gasol",6945742,2005
"Brent Barry",6859564,2005
"Marc Jackson",6795390,2005
"Chucky Atkins",6755180,2005
"Dwight Howard",6722562,2005
"Jason Caffey",6671783,2005
"Shawn Bradley",6433505,2005
"Greg Ostertag",6433505,2005
"Carlos Arroyo",6433505,2005
"Gordan Giricek",6433505,2005
"Eddy Curry",6266880,2005
"Darko Milicic",6217082,2005
"Moochie Norris",6192249,2005
"Eduardo Najera",6127148,2005
"Aaron Williams",6096159,2005
"Emeka Okafor",6014812,2005
"Jeff McInnis",5790154,2005
"Eric Williams",5757987,2005
"Mike Dunleavy",5733990,2005
"Jason Richardson",5684031,2005
"Rafer Alston",5629317,2005
"Carmelo Anthony",5583253,2005
"Evan Eschmeyer",5480791,2005
"Chris Mihm",5422468,2005
"Ben Gordon",5401442,2005
"Speedy Claxton",5307642,2005
"Chris Crawford",5227223,2005
"Voshon Lenard",5227223,2005
"Matt Maloney",5207118,2005
"Drew Gooden",5169450,2005
"Shane Battier",5166751,2005
"Bob Sura",5146804,2005
"Othella Harrington",5066385,2005
"Bobby Jackson",5066385,2005
"Chris Bosh",5033767,2005
"Mike James",4985966,2005
"Shaun Livingston",4869906,2005
"Stanislav Medvedenko",4825129,2005
"Michael Redd",4825129,2005
"Toni Kukoc",4825129,2005
"George Lynch",4825129,2005
"Arvydas Sabonis",4825129,2005
"Bruce Bowen",4825129,2005
"Pat Garrity",4724605,2005
"Nikoloz Tskitishvili",4681340,2005
"Iakovos Tsakalidis",4664291,2005
"Dwyane Wade",4558396,2005
"Eric Piatkowski",4423035,2005
"Devin Harris",4409975,2005
"Ira Newble",4349612,2005
"Kevin Ollie",4349612,2005
"Tony Delk",4342616,2005
"Tom Gugliotta",4342616,2005
"Rodney Rogers",4342616,2005
"DeSagana Diop",4334838,2005
"Greg Buckner",4258697,2005
"Dajuan Wagner",4251903,2005
"Chris Kaman",4140346,2005
"Predrag Drobnjak",4101359,2005
"Andres Nocioni",4061150,2005
"Damon Jones",4025766,2005
"Lucious Harris",4020940,2005
"Earl Boykins",4020940,2005
"Zeljko Rebraca",4020940,2005
"Andrew DeClercq",4020940,2005
"DeShawn Stevenson",4020940,2005
"Josh Childress",4005436,2005
"Jim Jackson",3892270,2005
"Michael Doleac",3860103,2005
"Joe Johnson",3794085,2005
"Kirk Hinrich",3779427,2005
"Kedrick Brown",3751357,2005
"Vladimir Radmanovic",3700848,2005
"Darrell Armstrong",3659056,2005
"Luol Deng",3656482,2005
"Richard Jefferson",3645857,2005
"Nenê",3635380,2005
"Troy Murphy",3589587,2005
"Chris Wilcox",3555927,2005
"Anthony Johnson",3538428,2005
"Antonio Daniels",3538428,2005
"TJ Ford",3462512,2005
"Marko Jaric",3377590,2005
"Rafael Araujo",3349797,2005
"Amare Stoudemire",3268542,2005
"Mike Sweetney",3182848,2005
"Marcus Haislip",3178761,2005
"Nick Collison",3167986,2005
"Malik Allen",3137339,2005
"Caron Butler",3105260,2005
"Andre Iguodala",3079204,2005
"Jason Collins",3036395,2005
"Jarvis Hayes",3023618,2005
"Jared Jeffries",2949890,2005
"Luke Jackson",2925186,2005
"Jon Barry",2895077,2005
"Rodney White",2891611,2005
"Mickael Pietrus",2872495,2005
"Jerome Moiso",2830742,2005
"Melvin Ely",2802435,2005
"Brendan Haywood",2791023,2005
"Andris Biedrins",2778888,2005
"Steven Hunter",2766480,2005
"Cezary Trybanski",2734239,2005
"Charlie Ward",2734239,2005
"Jarron Collins",2734239,2005
"Jumaine Jones",2714135,2005
"Jake Voskuhl",2714135,2005
"Andrei Kirilenko",2688713,2005
"Gerald Wallace",2657766,2005
"Erick Strickland",2653821,2005
"Robert Swift",2639924,2005
"Marcus Banks",2592445,2005
"Ron Mercer",2573402,2005
"Robert Traylor",2573402,2005
"Scott Williams",2573402,2005
"Lindsey Hunter",2573402,2005
"Calbert Cheaney",2573402,2005
"Tyronn Lue",2573402,2005
"Wesley Person",2573402,2005
"Maurice Williams",2573402,2005
"Fred Hoiberg",2573402,2005
"Chris Andersen",2573402,2005
"Ibo Kutluay",2573402,2005
"Darius Songaila",2573402,2005
"Anthony Peeler",2573402,2005
"Samuel Dalembert",2572676,2005
"Fred Jones",2529139,2005
"Sebastian Telfair",2507909,2005
"Primoz Brezec",2499941,2005
"Jamaal Tinsley",2499941,2005
"Jay Williams",2493869,2005
"Tony Parker",2485650,2005
"Luke Ridnour",2462745,2005
"Zach Randolph",2419435,2005
"Jason Collier",2412564,2005
"Joel Przybilla",2412564,2005
"Bostjan Nachbar",2402721,2005
"Kris Humphries",2382648,2005
"Earl Watson",2345012,2005
"Reece Gaines",2339608,2005
"Mike Wilks",2316208,2005
"Jiri Welsch",2282672,2005
"Al Jefferson",2263371,2005
"Jason Hart",2251726,2005
"Eddie House",2232951,2005
"Troy Bell",2222647,2005
"Juan Dixon",2168413,2005
"Walter McCarty",2151203,2005
"Kirk Snyder",2150270,2005
"Daniel Santiago",2123056,2005
"Raja Bell",2123056,2005
"Zarko Cabarkapa",2111476,2005
"Kevin Willis",2090889,2005
"Curtis Borchardt",2060137,2005
"Nate Huffman",2058721,2005
"Josh Smith",2042766,2005
"David West",2005902,2005
"Ryan Humphrey",1967301,2005
"JR Smith",1940666,2005
"Rasual Butler",1930051,2005
"John Amaechi",1930051,2005
"Aleksandar Pavlovic",1915576,2005
"Kareem Rush",1888555,2005
"Dorell Wright",1853235,2005
"Dahntay Jones",1838953,2005
"Qyntel Woods",1813090,2005
"Jameer Nelson",1779121,2005
"Kenny Anderson",1769214,2005
"Steve Smith",1769214,2005
"Avery Johnson",1769214,2005
"Bryon Russell",1769214,2005
"Stacey Augmon",1769214,2005
"Vladimir Stepania",1769214,2005
"Robert Horry",1769214,2005
"Tony Massenburg",1769214,2005
"Boris Diaw",1765418,2005
"Casey Jacobsen",1740520,2005
"Pavel Podkolzin",1707902,2005
"Zoran Planinic",1694778,2005
"Tayshaun Prince",1671038,2005
"Viktor Khryapa",1639578,2005
"Travis Outlaw",1627033,2005
"Travis Best",1608376,2005
"Raul Lopez",1604065,2005
"Samaki Walker",1600408,2005
"Brian Cook",1561990,2005
"Frank Williams",1539988,2005
"Delonte West",1511037,2005
"Nenad Krstic",1511037,2005
"Jacque Vaughn",1499884,2005
"Brevin Knight",1499884,2005
"Amal McCaskill",1499884,2005
"Darvin Ham",1499884,2005
"Rick Brunson",1499884,2005
"John Salmons",1488841,2005
"Kendall Gill",1467152,2005
"Tony Allen",1450626,2005
"Carlos Delfino",1450626,2005
"Ndudi Ebi",1449854,2005
"Brian Scalabrine",1447538,2005
"Maciej Lampe",1447538,2005
"Chris Jefferies",1445994,2005
"Dan Dickau",1436923,2005
"Reggie Evans",1415371,2005
"Kendrick Perkins",1407972,2005
"Kevin Martin",1402568,2005
"Adrian Griffin",1399361,2005
"Mark Pope",1399361,2005
"Mikki Moore",1399361,2005
"Bruno Sundov",1399361,2005
"Leandro Barbosa",1399287,2005
"Josh Howard",1389058,2005
"Sasha Vujacic",1362037,2005
"Michael Curry",1359274,2005
"Beno Udrih",1353738,2005
"David Harrison",1343894,2005
"Bobby Simmons",1326910,2005
"Scott Padgett",1298837,2005
"Zendon Hamilton",1298837,2005
"Anthony Carter",1298837,2005
"Milt Palacio",1298837,2005
"Ryan Bowen",1298033,2005
"Didier Ilunga-Mbenga",1286701,2005
"Anderson Varejao",1267400,2005
"Loren Woods",1214324,2005
"Mamadou N'diaye",1206282,2005
"Keith McLeod",1206282,2005
"Rodney Buford",1198314,2005
"DerMarr Johnson",1198314,2005
"Ansu Sesay",1198314,2005
"Keyon Dooling",1198314,2005
"Wang Zhizhi",1198314,2005
"Mark Madsen",1198314,2005
"Lee Nailon",1198314,2005
"Sean Marks",1198314,2005
"Laron Profit",1198314,2005
"Michael Ruffin",1198314,2005
"Marcus Fizer",1183700,2005
"Mateen Cleaves",1183700,2005
"Jabari Smith Sr",1158104,2005
"Eddie Gill",1158104,2005
